Carimbo de data/hora,Razão Social Cliente,CNPJ do Cliente,Valor do boleto:,Data de Vencimento,Tipo de produto:,Motivo:,QUEM SOLICITOU,Cliente novo?,Obsevações,Emissão por qual CNPJ?,Endereço de e-mail
1/12/2026,REDOL ALIMENTOS LTDA,01.453.168/0001-15,"R$ 404,60",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,ASSOCIAÇÃO DOS FUNC. E PROFESSORES DA URI SANTIAGO,05.349.716/0001-12,"R$ 695,90",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,SIMA- SINDICATO DOS MUNICIPÁRIOS DE AMARAL FERRADOR,13.263.847/0001-00,"R$ 675,60",1/29/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,COMEXPORT COMPANHIA DE COMERCIO DE COMÉRCIO EXTERIOR,43.633.296/0001-90,"R$ 721,90",1/26/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,COOPERATIVA AGRICOLA MISTA NOVA PALMA LTDA,91.022.632/0001-01,"R$ 2.000,00",2/5/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,TABACUM INTERAMERICAN COMERCIO E EXPORTACAO DE FUMOS LTDA,05.648.120/0003-85,"R$ 200,00",2/8/2026,movel/assessoria,emissão nota e boleto,Francine,NÃO,,,suporte2@luxustelefonia.com.br
1/12/2026,SINDICATO DO COMERCIO VAREJISTA DE CAXIAS DO SUL,88.662.770/0001-40,"R$ 10.094,95",1/28/2026,Aluguel,emissão nota e boleto,Bruna,Não,,Telefonia,bruna@luxustelefonia.com.br
1/12/2026,METALTECSS REVESTIMENTOS DE METAIS LTDA,00.925.102/0001-18,"R$ 1.697,37",1/22/2026,Aluguel,emissão nota e boleto,Bruna,Não,,serra,bruna@luxustelefonia.com.br
1/12/2026,SIND. DOS TRAB. AGRIC. FAM. DE FARROUPILHA - SINTRAFAR.,89.849.608/0001-07,"R$ 9.819,15",1/23/2026,Aluguel,emissão nota e boleto,Bruna,Não,,serra,bruna@luxustelefonia.com.br
1/12/2026,COOP DESENV E DIFUSãO TECNOLOGIA AGRICOLA CRUZ ALTA LTDA - COOPERTEC,03.840.349/0001-20,"R$ 1.790,38",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/12/2026,GF PNEUS COMERCIAL E DISTRIBUIDORA LTDA (FILIAL),93.894.954/0005-08,"R$ 822,15",1/22/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/12/2026,SIEMENS INDUSTRY SOFTWARE LTDA.,02.283.647/0001-01,"R$ 568,10",4/23/2026,movel/assessoria,emissão apenas da nota fiscal,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/12/2026,SINDICATO SERV MUNIC SÃO MARCOS,07.362.420/0001-67,"R$ 1.207,50",2/10/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/12/2026,SANTA CASA DE MISERICóRDIA DA BAHIA,15.153.745/0001-68,"R$ 683,80",2/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/14/2026,UNIMED ARARUAMA COOPERATIVA DE TRABALHO MEDICO,00.111.826/0001-28,"R$ 19.187,98",1/26/2026,Aluguel,nf e boleto,Bruna,Não,,Telefonia,bruna@luxustelefonia.com.br
1/14/2026,SINDICATO DOS PROFESSORES MUNICIPAIS LEOPOLDENSES - CEPROL,92.932.763/0001-99,"R$ 25.606,59",2/10/2026,Aluguel,nf e boleto,Bruna,Não,,Telefonia,bruna@luxustelefonia.com.br
1/14/2026,JOSE ERY CAMARGO - ADVOGADOS ASSOCIADOS,04.469.994/0001-40,"R$ 234,69",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,OITO DISTRIBUIDORA DE TITULOS E ADMINISTRACAO LTDA,10.974.999/0001-23,"R$ 1.034,36",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,EXECUTIVA COM DE MAQ E EQUIPAMENTOS PARA ESCRITORIO LTDA,14.729.826/0001-09,"R$ 75,89",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO ESSENCIA RS/ES - SICREDI ESSENCIA",87.733.077/0001-59,"R$ 220,00",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,ASSOCIACAO DOS TRANSPORTADORES URBANOS DE PASSAGEIROS DE SANTA MARIA - ATU,02.191.788/0001-96,"R$ 350,00",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,IRMAOS CIOCCARI E CIA LTDA,87.675.831/0001-41,"R$ 220,00",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,GENERAL COAT PINTURA INDUSTRIAL LTDA,09.451.565/0001-60,"R$ 200,00",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,AGROPECUARIA TRIUNFO LTDA,05.949.166/0001-72,"R$ 102,39",1/22/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/14/2026,MAGIC BRANDS INDUSTRIA E COMERCIO DE CONFECCOES LTDA,11.734.998/0001-74,"R$ 869,79",,Aluguel,nf 000053 corrigir para cardoso,Bruna,,,,bruna@luxustelefonia.com.br
1/14/2026,MAGIC BRANDS INDUSTRIA E COMERCIO DE CONFECCOES LTDA,11.734.998/0001-74,"R$ 34,99",,Aluguel,nf 0006 corrigir para telefonia,Bruna,,,,bruna@luxustelefonia.com.br
15-jan.,SCHENKER DO BRASIL TRANSPORTES INTERNACIONAIS,43.823.079/0001-63,"R$ 2.620,10",1/26/2026,móvel/assessoria,cancelar boleto e nf,Francine,não,cliente mudou a razão e cnpj,,suporte2@luxustelefonia.com.br
15-jan.,DSV CONTRACT LOGISTICS BRASIL LTDA,49.728.108/0001-94,"R$ 2.620,10",1/28/2026,móvel/assessoria,boleto e nf,Francine,SIM,,MESMO QUE ERA NA SCHENKER,suporte2@luxustelefonia.com.br
1/16/2026,PRATICOS DA BARRA DO RIO GRANDE LTDA,02.390.883/0001-19,"R$ 274,25",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,DANFOM,,jenifer@luxustelefonia.com.br
1/16/2026,"SICREDI PAMPA GAUCHO - COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO ESSENCIA RS/ES SICREDI ESSENCIA",87.733.077/0001-59,"R$ 1.677,63",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,VIACAO OURO E PRATA SA,92.954.106/0001-42,"R$ 397,31",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,AJURIS- ASSOCIAÇÃO DOS JUIZES DO RIO GRANDE DO SUL,92.965.748/0001-47,"R$ 8.500,00",1/29/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,MAQUINAS AGRÍCOLAS CARPENEDO LTDA,95.814.927/0001-71,"R$ 160,00",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,SIND TRAB IND PUR DIST AGUA SERV ESG DO ESTADO DO RS - SINDIAGUA,90.003.310/0001-52,"R$ 220,00",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,SINDICATO RURAL DE IBIRUBA,93.541.480/0001-89,"R$ 829,08",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,ASSOCIACAO DOS SERVIDORES DO BANCO CENTRAL - ASBAC PORTO ALEGRE,02.492.319/0001-07,"R$ 2.092,40",2/9/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,GF PNEUS COMERCIAL E DISTRIBUIDORA LTDA,93.894.954/0003-38,"R$ 48,52",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,LUNDBECK BRASIL LTDA,04.522.600/0001-70,"R$ 504,00",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,AFBNDES,33.984.550/0001-41,"R$ 4.430,07",1/27/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,HIPRA,92.662.501/0001-51,"R$ 417,96",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,AUGUSTIN,91.495.457/0001-70,"R$ 150,00",1/26/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,UNIMED PATOS DE MINAS,38.499.547/0001-56,"R$ 500,00",1/28/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/16/2026,SINDICATO INTERMUNICIPAL DAS INDUSTRIAS MADEIREIRAS - SINDIMADEIRA - RS,87.815.437/0001-61,"R$ 476,58",1/26/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/16/2026,ORDEM DOS ADVOGADOS DO BRASIL SECAO DA BAHIA,14.259.469/0001-54,"R$ 286,72",1/26/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/19/2026,UNIMED PATOS DE MINAS,38499547000156,"R$ 159,96",1/30/2026,Aluguel,nf e boleto,Bruna,Não,,serra,bruna@luxustelefonia.com.br
1/19/2026,MARZARI ALIMENTOS LTDA,95.600.235/0001-20,"R$ 320,72",2/10/2026,FIXO,nf e boleto,Lisete,não,,,lisete@luxustelefonia.com.br
1/19/2026,G & A DISTRIBUIDORA DE PECAS E ACESSORIOS LTDA - TOGNI,04.470.511/0001-28,"R$ 115,42",1/26/2026,FIXO,nf e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
1/20/2026,ALIBEM ALIMENTOS S.A.,03.941.052/0001-50,"R$ 1.410,84",2/10/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
1/21/2026,ORDEM DOS ADVOGADOS DO BRASIL SECAO DA BAHIA,14.259.469/0001-54,"R$ 286,72",1/28/2026,FIXO,nf e boleto,não,,,,lisete@luxustelefonia.com.br
1/21/2026,SINDICATO INTERMUNICIPAL DAS INDUSTRIAS MADEIREIRAS - SINDIMADEIRA - RS,87.815.437/0001-61,"R$ 476,58",1/28/2026,FIXO,nf e boleto,não,,,,lisete@luxustelefonia.com.br
1/22/2026,TRIAUTO PROTECAO VEICULAR,36.552.203/0001-38,"R$ 0,86",1/20/2026,Aluguel,somentte nf,Bruna,não,,telefonia,bruna@luxustelefonia.com.br
27-jan.,CRESOL,15.039.387/0001-67,"R$ 1.411,76",1/28/2026,movel/assessoria,alteração de vencimento,Jenifer,não,,,jenifer@luxustelefonia.com.br
27-jan.,ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS DE VENÂNCIO AIRES,94.236.510/0001-06,"R$ 10.988,95",29/02/2026,movel/assessoria,nf e boleto,Francine,nao,,,suporte2@luxustelefonia.com.br
30-jan.,SIND TRAB IND PUR DIST AGUA SERV ESG DO ESTADO DO RS,90.003.310/0001-52,"R$ 209,77",1/26/2026,FIXO,cancelamento de NF e Boleto,Jenifer,Não,Gerado boleto em duplicidade,,jenifer@luxustelefonia.com.br
30-jan.,SINDICATO INTERMUNICIPAL DAS INDUSTRIAS MADEIREIRAS - SINDIMADEIRA - RS,87.815.437/0001-61,"R$ 476,58",1/26/2026,FIXO,cancelamento de NF e Boleto,Jenifer,Não,Gerado boleto em duplicidade,,jenifer@luxustelefonia.com.br
2/3/2026,ASSOCIACAO DOS GESTORES DA CAIXA ECONOMICA FEDERAL DE SANTA CATARINA - AGECEF,80.675.077/0001-09,"R$ 496,80",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,Enviar também pelo whats (LUCAS 48991194202),,jenifer@luxustelefonia.com.br
2/3/2026,ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS DE ILOPOLIS,04.225.061/0001-08,"R$ 1.051,00",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,GF PNEUS COMERCIAL E DISTRIBUIDORA LTDA (MATRIZ),93.894.954/0001-76,"R$ 1.396,48",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,ASSOCIAÇÃO DOS PROFESSORES DA FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO / APROFUPF,89.764.765/0001-01,"R$ 671,92",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,CARGNELUTTI E CIA LTDA,98.417.645/0001-29,"R$ 218,04",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,COOPERFAR-COOP DOS TRANSPORTADORES AUTONOMOS DE FARROUPILHA LTDA,07.312.871/0001-90,"R$ 1.569,30",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,SINDICATO DOS SERVIDORES MUNICIPAIS DE TORRES,90.800.590/0001-20,"R$ 889,27",3/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,SINDICATO DOS SERVIDORES PUBLICOS MUNICIPAIS DE DOM PEDRO DE ALCANTARA - SISPDOPA,05.892.630/0001-31,"R$ 346,00",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,COOP. ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO BANRISUL - BANRICOOP,92.935.741/0001-82,"R$ 3.773,59",2/18/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,METALTECSS REVESTIMENTO DE METAIS LTDA,00.925.102/0001-18,"R$ 250,00",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,AFBNDES,33.984.550/0001-41,"R$ 9.770,53",2/17/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/3/2026,INSTITUTO NACIONAL DE DESENVOLVIMENTO SOCIAL E HUMANO - INDSH,23.453.830/0015-75,"R$ 208,32",2/13/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/4/26 9:42,CAMARA DE INDUSTRIA COMERCIO SERVICOS E AGROPECUARIA DE SAO MARCOS,90.480.336/0001-91,"R$ 1.594,72",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,COOPERATIVA TRITICOLA CACAPAVANA LTDA - COTRISUL,87.678.132/0001-55,"R$ 6.429,91",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,DO VALE COMERCIO DE PNEUMATICOS LTDA,08.713.358/0001-73,"R$ 209,98",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,GENERAL COAT PINTURA INDUSTRIAL LTDA,09.451.565/0001-60,"R$ 992,46",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,MULTIRISCO ADMINISTRACAO E CORRETAGEM DE SEGUROS LTDA,92.872.324/0001-38,"R$ 494,91",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,PAGLIARIN E CIA LTDA,97.168.066/0001-27,"R$ 219,85",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,SONDA TRANSPORTES SA,88.584.875/0001-29,"R$ 669,55",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,T F CARLET,30.219.383/0001-54,"R$ 379,95",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,VITIVINICOLA JOLIMONT LTDA,88.212.881/0001-55,"R$ 689,93",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,ORDEM DOS ADVOGADOS DO BRASIL SECCAO DO RIO G DO SUL,87.019.584/0012-88,"R$ 29,99",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,COOPERATIVA DE CREDITO E INVESTIMENTO LIBERDADE - SICREDI LIBERDADE,88.530.142/0001-01,"R$ 389,70",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,EMERGENCIALL EMERGENCIAS AMBIENTAIS LTDA,05.441.968/0001-77,"R$ 861,55",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,CASA DO MEL,02.174.156/0001-14,"R$ 44,99",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,,CARDOSO E POLI,bruna@luxustelefonia.com.br
2/4/26 9:42,CONEXAO DIRETA SERVICOS DE APOIO ADMINISTRATIVO LTDA,58.485.075/0001-90,"R$ 5.528,21",2/20/2026,Aluguel,BOLETO,Bruna,NÃO,,LUXUS TELEFONIA LTDA,meline@luxustelefonia.com.br
2/4/26 9:42,ORDEM DOS ADVOGADOS DO BRASIL SECAO DA BAHIA,14.259.469/0001-54,"R$ 39,99",2/20/2026,Aluguel,Emissão apenas nota fiscal,,,VIVO,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
2/4/26 9:42,ORDEM DOS ADVOGADOS DO BRASIL SECAO DA BAHIA,14.259.469/0001-54,"R$ 39,99",2/20/2026,Aluguel,Emissão apenas nota fiscal,,,VIVO,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
2/4/26 9:42,ORDEM DOS ADVOGADOS DO BRASIL SECAO DA BAHIA,14.259.469/0001-54,"R$ 39,99",2/20/2026,Aluguel,Emissão apenas nota fiscal,,,VIVO,LUXUS TELEFONIA LTDA,bruna@luxustelefonia.com.br
2/9/2026,DISMARIA DISTRIBUIDORA SANTA MARIA LTDA,05.985.207/0001-86,"R$ 300,00",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,ASSOCIAÇÃO DOS POLICIAIS RODOVIÁRIOS FEDERAIS DE SANTA MARIA - APRF/SM,94.446.887/0001-90,"R$ 224,00",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,SINDILOJAS - SINDICATO DO COMERCIO VAREJISTA DE CAXIAS DO SUL,88.662.770/0001-40,"R$ 280,50",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,ASSOCIAÇÃO DOS TRABALHADORES NA AGRICULTURA FAMILIAR DA ENCOSTA SUPERIOR DO NORDESTE-CRESOL,15.039.387/0001-67,"R$ 1.422,11",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,COOPERATIVA AGRÍCOLA MISTA IBIRAIARAS LTDA - COOPIBI,91.061.036/0001-30,"R$ 789,28",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,F POZOBON SISTEMAS DE HIGIENE E LIMPEZA - EIRELI,07.119.129/0001-62,"R$ 535,57",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,SOLTEC,23.294.509/0001-90,"R$ 132,00",3/5/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,GRUPO K1 S.A.,00.912.882/0001-61,"R$ 198,78",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/2026,ROSINEI VEDOY DA SILVA,10.855.207/0001-00,"R$ 4.000,00",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/9/26 15:14,TRIAUTO PROTECAO VEICULAR,36.552.203/0001-39,"R$ 85,98",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,TIM,LUXUS TELEFONIA LTDA,meline@luxustelefonia.com.br
2/9/26 15:14,DEMANDER FORCA DE VENDAS LTDA (TIM),37.868.347/0001-60,"R$ 128,97",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,TIM,LUXUS TELEFONIA LTDA,meline@luxustelefonia.com.br
2/9/26 15:14,SUPERMERCADO LUTTERBECK LTDA,92.478.445/0001-08,"R$ 348,75",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,TIM,LUXUS TELEFONIA LTDA,meline@luxustelefonia.com.br
2/9/2026,DREBES CIA LTDA (TIM),96.662.168/0001-31,"R$ 45,99",3/10/2026,Aluguel,Emissão nota e boleto,Bruna,NÃO,TIM,LUXUS TELEFONIA LTDA,meline@luxustelefonia.com.br
2/9/26 15:14,MAGIC BRANDS INDUSTRIA E COMERCIO DE CONFECCOES LTDA,11.734.998/0001-74,"R$ 34,99",2/20/2026,Aluguel,Emissão apenas nota fiscal,Bruna,NÃO,TIM,LUXUS TELEFONIA LTDA,meline@luxustelefonia.com.br
2/10/2026,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUI,97.839.922/0001-29,"R$ 9.598,10",2/15/2026,Aluguel,nf e boleto,Rafa,NÃO,,LUXUS TELEFONIA LTDA,rafael@luxustelefonia.com.br
2/10/2026,HOSPITAL DE CARIDADE DE SANTIAGO,96.136.643/0001-36,"R$ 334,23",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,JOSE ERY CAMARGO - ADVOGADOS ASSOCIADOS,04.469.994/0001-40,"R$ 168,99",2/20/2026,gerenciamento,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,RDP ENERGIA - REJAILE,00.209.895/0001-79,"R$ 350,00",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,"SICREDI PAMPA GAUCHO - COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO ESSENCIA RS/ES SICREDI ESSENCIA",87.733.077/0001-59,"R$ 1.690,59",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,SINDICATO DOS TRABALHADORES AGRICULTORES FAMILIARES DE FARROUPILHA - SINTRAFAR,89.849.608/0001-07,"R$ 274,75",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,SINDICATO DOS TRABALHADORES RURAIS DE COLINAS,02.180.326/0001-73,"R$ 606,00",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,VIACAO OURO E PRATA SA,92.954.106/0001-42,"R$ 397,31",2/20/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,AFBNDES,33.984.550/0001-41,"R$ 4.725,00",2/24/2026,movel/assessoria,emissão nota e boleto,Jenifer,NÃO,,,jenifer@luxustelefonia.com.br
2/10/2026,OITO DISTRIBUIDORA DE TITULOS E ADMINISTRACAO LTDA,10.974.999/0001-23,"R$ 1.034,36",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,EXECUTIVA COM DE MAQ E EQUIPAMENTOS PARA ESCRITORIO LTDA,14.729.826/0001-09,"R$ 75,89",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO ESSENCIA RS/ES - SICREDI ESSENCIA",87.733.077/0001-59,"R$ 220,00",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,ASSOCIACAO DOS TRANSPORTADORES URBANOS DE PASSAGEIROS DE SANTA MARIA - ATU,02.191.788/0001-96,"R$ 350,00",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,GENERAL COAT PINTURA INDUSTRIAL LTDA,09.451.565/0001-60,"R$ 200,00",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,AGROPECUARIA TRIUNFO LTDA,05.949.166/0001-72,"R$ 102,39",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,SIND TRAB IND PUR DIST AGUA SERV ESG DO ESTADO DO RS,90.003.310/0001-52,"R$ 220,00",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/10/2026,IRMAOS CIOCCARI E CIA LTDA,87.675.831/0001-41,"R$ 220,00",2/20/2026,FIXO,emissão nota e boleto,Lisete,Não,,,lisete@luxustelefonia.com.br
2/13/2026,GLORY,10.204.892/0001-04,R$ 199.60,2/25/2026,móvel/assessoria,boleto e nf,FRANCINE,não,,,suporte2@luxustelefonia.com.br
2/13/2026,SINDICATO DOS FUNCIONÁRIOS MUNICIPAIS DE SOBRADINHO,92.000.918/0001-59,"R$ 865,80",2/25/2026,móvel/assessoria,boleto e nf,FRANCINE,não,,,suporte2@luxustelefonia.com.br
2/13/2026,MADEIREIRA HAAS LTDA,98.597.917/0001-10,"R$ 535,10",2/25/2026,móvel/assessoria,boleto e nf,FRANCINE,não,,,suporte2@luxustelefonia.com.br
2/13/2026,TRANSPORTADORA AUGUSTA SP LTDA,94.193.257/0012-03,"R$ 322,90",2/25/2026,móvel/assessoria,boleto e nf,FRANCINE,não,,,suporte2@luxustelefonia.com.br
